Attrition,BusinessTravel_Travel_Frequently,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion
1,False,False,False,False,False,False,False,True,False,False,True,True,-0.6603,0.3795,1.1529,-0.1083,-0.1646,-0.6789
0,True,False,False,False,False,False,True,False,False,True,False,False,0.2545,-1.0258,-0.6606,-0.2916,0.4883,-0.3686
1,False,False,True,False,False,False,False,False,False,False,True,True,1.1694,-1.0258,0.2461,-0.9373,-1.1439,-0.6789
0,True,False,False,False,False,False,True,False,False,True,False,True,1.1694,0.3795,0.2461,-0.7634,0.1619,0.2521
0,False,False,True,False,False,False,False,False,False,True,False,False,-1.5752,0.3795,-0.6606,-0.6446,-0.8175,-0.0583
0,True,False,True,False,False,False,False,False,False,False,True,False,1.1694,0.3795,1.1529,-0.7296,-0.0013,0.2521
0,False,False,True,False,False,False,False,False,False,True,False,True,0.2545,1.7849,-1.5674,-0.8141,-0.9807,-0.6789
0,False,False,True,False,False,False,False,False,False,False,False,False,1.1694,0.3795,0.2461,-0.8093,-0.9807,-0.6789
0,True,False,False,False,True,False,False,False,False,False,True,False,1.1694,-1.0258,0.2461,0.6421,0.3251,-0.3686
0,False,False,False,False,False,False,False,False,False,True,False,False,0.2545,0.3795,0.2461,-0.2689,-0.0013,1.4934
0,False,False,True,False,False,False,False,False,False,True,False,False,-1.5752,1.7849,-0.6606,-0.866,-0.3278,-0.6789
0,False,False,True,False,False,False,False,False,False,False,True,True,1.1694,-1.0258,0.2461,-0.4906,0.3251,-0.6789
0,False,False,False,False,False,False,True,False,False,False,False,False,-1.5752,0.3795,0.2461,-0.7629,-0.3278,0.5624
0,False,False,True,False,False,False,False,False,False,False,False,False,-0.6603,0.3795,1.1529,-0.8161,-0.8175,-0.3686
1,False,False,True,False,False,False,False,False,False,False,True,True,0.2545,-1.0258,0.2461,-0.9505,-0.491,-0.6789
0,False,False,False,False,True,False,False,False,False,False,False,False,-0.6603,1.7849,-1.5674,0.7386,0.4883,1.8037
0,False,False,False,False,False,False,True,False,False,False,False,True,-1.5752,1.7849,-0.6606,-0.6807,-0.1646,-0.6789
0,False,False,True,False,False,False,False,False,False,False,False,True,1.1694,1.7849,1.1529,-0.7579,-0.9807,-0.6789
0,False,False,False,True,False,False,False,False,False,True,False,False,-1.5752,-1.0258,1.1529,1.8955,2.9367,0.2521
0,False,False,False,False,False,False,True,False,False,False,True,True,1.1694,0.3795,1.1529,-0.5435,-0.6542,-0.3686
0,False,False,False,False,True,False,False,False,False,False,False,False,-1.5752,1.7849,0.2461,-0.5293,-0.491,-0.3686
1,False,False,False,False,False,False,False,False,True,False,True,False,0.2545,-1.0258,-1.5674,-0.6576,-0.3278,-0.6789
0,False,False,False,False,False,True,False,False,False,False,True,False,-1.5752,0.3795,-0.6606,1.1663,0.8148,-0.0583
0,False,False,False,False,False,False,True,False,False,False,True,False,0.2545,0.3795,1.1529,-1.1196,-1.1439,-0.6789
1,False,False,False,False,False,False,True,False,False,False,True,False,-0.6603,0.3795,-1.5674,-0.7525,-0.491,-0.3686
0,False,False,False,True,False,False,False,False,False,False,False,False,0.2545,0.3795,0.2461,2.6744,1.1412,0.5624
1,True,False,False,False,False,False,True,False,False,False,True,True,-0.6603,-2.4312,-1.5674,-0.5488,0.4883,1.183
0,False,False,False,False,False,False,False,True,False,True,False,False,0.2545,0.3795,-0.6606,0.0684,0.3251,0.5624
0,False,False,False,False,False,False,False,False,False,True,False,False,-1.5752,-1.0258,1.1529,0.7955,2.447,0.8727
0,False,False,False,True,False,False,False,False,False,False,True,False,-0.6603,0.3795,-1.5674,2.6432,-0.8175,-0.0583
0,False,False,True,False,False,False,False,False,False,False,True,False,0.2545,0.3795,1.1529,-0.8511,-0.9807,-0.6789
0,False,False,False,False,False,False,False,False,False,True,False,True,1.1694,0.3795,1.1529,-0.0081,-0.491,-0.3686
0,False,False,True,False,False,False,False,False,False,False,True,False,1.1694,-1.0258,0.2461,-0.9127,0.4883,-0.3686
1,False,False,False,False,False,False,False,False,True,True,False,False,1.1694,0.3795,1.1529,-0.9382,-0.9807,-0.6789
1,False,False,False,False,False,False,True,False,False,True,False,True,-0.6603,0.3795,1.1529,-0.8942,-0.8175,-0.0583
0,False,False,False,False,False,False,True,False,False,False,False,False,1.1694,1.7849,0.2461,-0.8194,-0.3278,-0.3686
1,False,False,False,False,False,False,False,False,True,True,False,True,-1.5752,-1.0258,0.2461,-0.8114,-0.6542,-0.6789
0,False,False,False,False,False,False,False,False,True,True,False,False,1.1694,0.3795,1.1529,-0.9535,-0.8175,-0.0583
0,False,False,False,False,False,False,True,False,False,True,False,True,-0.6603,-1.0258,-1.5674,-0.655,-0.9807,-0.6789
0,True,False,False,False,False,False,False,True,False,True,False,False,0.2545,1.7849,-1.5674,-0.2394,-0.3278,-0.3686
0,False,False,True,False,False,False,False,False,False,False,False,False,0.2545,0.3795,1.1529,-0.9669,-0.9807,-0.6789
0,False,False,True,False,False,False,False,False,False,False,False,False,1.1694,0.3795,-1.5674,-0.884,-0.9807,-0.6789
1,False,False,True,False,False,False,False,False,False,False,True,False,-1.5752,-2.4312,0.2461,-0.8942,-0.9807,-0.6789
0,True,False,False,False,False,False,False,True,False,False,True,False,1.1694,0.3795,0.2461,0.4722,0.3251,-0.3686
0,True,False,True,False,False,False,False,False,False,False,True,False,0.2545,0.3795,1.1529,-0.5293,0.8148,0.2521
1,False,False,False,False,False,True,False,False,False,True,False,False,-0.6603,0.3795,0.2461,2.7702,2.447,3.976
0,False,False,False,False,False,False,False,True,False,False,True,False,-0.6603,0.3795,0.2461,-0.411,0.3251,1.8037
0,False,False,False,False,False,False,True,False,False,True,False,False,-0.6603,0.3795,-0.6606,-0.7394,-0.9807,-0.6789
0,True,False,False,False,False,False,False,True,False,False,True,True,-1.5752,0.3795,1.1529,-0.1553,0.3251,-0.6789
0,False,False,True,False,False,False,False,False,False,True,False,False,1.1694,1.7849,1.1529,-0.8993,-0.9807,-0.6789
1,False,False,True,False,False,False,False,False,False,False,True,True,-1.5752,-1.0258,0.2461,-0.2383,-0.9807,-0.6789
1,False,False,True,False,False,False,False,False,False,False,True,True,0.2545,0.3795,0.2461,-0.6504,-0.8175,-0.0583
0,False,False,False,False,False,False,False,True,False,False,False,True,-0.6603,0.3795,-1.5674,-0.2228,-0.491,-0.3686
0,False,False,False,False,False,False,False,False,False,True,False,True,0.2545,-1.0258,-1.5674,0.7182,-0.491,-0.0583
